original_title,is_adult,year_of_release,runtime,imdb_rating,release_month,nominations,wins,actors_name,genre
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kangana Ranaut,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Rimi Sen,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Atul Kulkarni,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Nalneesh Neel,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Danny Denzongpa,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mishti,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kulbhushan Kharbanda,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mohammed Zeeshan Ayyub,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Anil George,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Vikram Kochhar,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Edward Sonnenblick,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Ankita Lokhande,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Richard Keep,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Jishu Sengupta,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,,Action
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kangana Ranaut,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Rimi Sen,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Atul Kulkarni,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Nalneesh Neel,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Danny Denzongpa,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mishti,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kulbhushan Kharbanda,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mohammed Zeeshan Ayyub,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Anil George,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Vikram Kochhar,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Edward Sonnenblick,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Ankita Lokhande,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Richard Keep,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Jishu Sengupta,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,,Biography
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kangana Ranaut,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Rimi Sen,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Atul Kulkarni,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Nalneesh Neel,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Danny Denzongpa,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mishti,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Kulbhushan Kharbanda,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Mohammed Zeeshan Ayyub,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Anil George,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Vikram Kochhar,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Edward Sonnenblick,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Ankita Lokhande,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Richard Keep,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,Jishu Sengupta,Drama
Manikarnika: The Queen of Jhansi,0,2019,148,6.5,January,0,0,,Drama
Thackeray,0,2019,120,5.1,January,0,0,Nawazuddin Siddiqui,Biography
Thackeray,0,2019,120,5.1,January,0,0,Amrita Rao,Biography
Thackeray,0,2019,120,5.1,January,0,0,Abdul Quadir Amin,Biography
Thackeray,0,2019,120,5.1,January,0,0,Sanjay Narvekar,Biography
Thackeray,0,2019,120,5.1,January,0,0,Prakash Belawadi,Biography
Thackeray,0,2019,120,5.1,January,0,0,Vineet Sharma,Biography
Thackeray,0,2019,120,5.1,January,0,0,Radha Sagar,Biography
Thackeray,0,2019,120,5.1,January,0,0,Sonamoni Jayant Gadekar,Biography
Thackeray,0,2019,120,5.1,January,0,0,Satish Alekar,Biography
Thackeray,0,2019,120,5.1,January,0,0,Micky Makhija,Biography
Thackeray,0,2019,120,5.1,January,0,0,Nikhil Mahajan,Biography
Thackeray,0,2019,120,5.1,January,0,0,Resh Lamba,Biography
Thackeray,0,2019,120,5.1,January,0,0,Jaywant Wadkar,Biography
Thackeray,0,2019,120,5.1,January,0,0,Laxman Singh Rajput,Biography
Thackeray,0,2019,120,5.1,January,0,0,,Biography
Thackeray,0,2019,120,5.1,January,0,0,Nawazuddin Siddiqui,Drama
Thackeray,0,2019,120,5.1,January,0,0,Amrita Rao,Drama
Thackeray,0,2019,120,5.1,January,0,0,Abdul Quadir Amin,Drama
Thackeray,0,2019,120,5.1,January,0,0,Sanjay Narvekar,Drama
Thackeray,0,2019,120,5.1,January,0,0,Prakash Belawadi,Drama
Thackeray,0,2019,120,5.1,January,0,0,Vineet Sharma,Drama
Thackeray,0,2019,120,5.1,January,0,0,Radha Sagar,Drama
Thackeray,0,2019,120,5.1,January,0,0,Sonamoni Jayant Gadekar,Drama
Thackeray,0,2019,120,5.1,January,0,0,Satish Alekar,Drama
Thackeray,0,2019,120,5.1,January,0,0,Micky Makhija,Drama
Thackeray,0,2019,120,5.1,January,0,0,Nikhil Mahajan,Drama
Thackeray,0,2019,120,5.1,January,0,0,Resh Lamba,Drama
Thackeray,0,2019,120,5.1,January,0,0,Jaywant Wadkar,Drama
Thackeray,0,2019,120,5.1,January,0,0,Laxman Singh Rajput,Drama
Thackeray,0,2019,120,5.1,January,0,0,,Drama
Amavas,0,2019,134,2.8,February,0,0,Ali Asgar,Horror
Amavas,0,2019,134,2.8,February,0,0,Vivan Bhatena,Horror
Amavas,0,2019,134,2.8,February,0,0,Nargis Fakhri,Horror
Amavas,0,2019,134,2.8,February,0,0,Sachiin Joshi,Horror
Amavas,0,2019,134,2.8,February,0,0,Shabnam Karimzada,Horror
Amavas,0,2019,134,2.8,February,0,0,Kevin Matadeen,Horror
Amavas,0,2019,134,2.8,February,0,0,,Horror
Amavas,0,2019,134,2.8,February,0,0,Ali Asgar,Thriller
Amavas,0,2019,134,2.8,February,0,0,Vivan Bhatena,Thriller
Amavas,0,2019,134,2.8,February,0,0,Nargis Fakhri,Thriller
Amavas,0,2019,134,2.8,February,0,0,Sachiin Joshi,Thriller
Amavas,0,2019,134,2.8,February,0,0,Shabnam Karimzada,Thriller
Amavas,0,2019,134,2.8,February,0,0,Kevin Matadeen,Thriller
Amavas,0,2019,134,2.8,February,0,0,,Thriller
Gully Boy,0,2019,153,8.2,February,3,6,Ranveer Singh,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Alia Bhatt,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Siddhant Chaturvedi,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Vijay Raaz,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Amruta Subhash,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Vijay Varma,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Kalki Koechlin,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Ikhlaque Khan,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Sheeba Chaddha,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Jyoti Subhash,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Rahul Piske,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Nakul Sachdeva,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Shruti Chauhan,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Aishwarya Desai,Drama
Gully Boy,0,2019,153,8.2,February,3,6,,Drama
Gully Boy,0,2019,153,8.2,February,3,6,Ranveer Singh,Music
Gully Boy,0,2019,153,8.2,February,3,6,Alia Bhatt,Music
Gully Boy,0,2019,153,8.2,February,3,6,Siddhant Chaturvedi,Music
Gully Boy,0,2019,153,8.2,February,3,6,Vijay Raaz,Music
Gully Boy,0,2019,153,8.2,February,3,6,Amruta Subhash,Music
Gully Boy,0,2019,153,8.2,February,3,6,Vijay Varma,Music
Gully Boy,0,2019,153,8.2,February,3,6,Kalki Koechlin,Music
Gully Boy,0,2019,153,8.2,February,3,6,Ikhlaque Khan,Music
Gully Boy,0,2019,153,8.2,February,3,6,Sheeba Chaddha,Music
Gully Boy,0,2019,153,8.2,February,3,6,Jyoti Subhash,Music
Gully Boy,0,2019,153,8.2,February,3,6,Rahul Piske,Music
Gully Boy,0,2019,153,8.2,February,3,6,Nakul Sachdeva,Music
Gully Boy,0,2019,153,8.2,February,3,6,Shruti Chauhan,Music
Gully Boy,0,2019,153,8.2,February,3,6,Aishwarya Desai,Music
Gully Boy,0,2019,153,8.2,February,3,6,,Music
Hum chaar,0,2019,143,5.6,February,0,0,Prit Kamani,Drama
